09-22-23_04-40-01-148 - Logging Started
04-46-14-971 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-46-17-971 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[6] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-46-21-133 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[10] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-46-24-134 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[6] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-46-27-133 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[35] Bloc:[67] Aim:[80] CCast:[26] RndCast[31] TopCast[0]
04-46-30-292 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[63] Aim:[79] CCast:[0] RndCast[57] TopCast[0]
04-46-33-293 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[10] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-46-36-470 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[32] Bloc:[6] Aim:[20] CCast:[0] RndCast[0] TopCast[0]
04-46-39-470 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[12] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-46-42-633 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[6] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-46-46-264 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[10] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-46-49-264 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[32] Bloc:[6] Aim:[20] CCast:[0] RndCast[0] TopCast[0]
04-46-52-264 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[67] Aim:[79] CCast:[0] RndCast[57] TopCast[0]
04-46-55-428 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[63] Aim:[79] CCast:[26] RndCast[31] TopCast[0]
04-46-58-428 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[10] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-47-01-594 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[6] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-47-04-594 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[10] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-47-07-754 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[6] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-47-10-754 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[33] Bloc:[9] Aim:[21] CCast:[0] RndCast[0] TopCast[0]
04-47-13-915 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[178] Aim:[193] CCast:[52] RndCast[119] TopCast[0]
04-47-17-392 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[8] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-47-20-554 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[8] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-47-23-554 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[8] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-47-26-717 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[8] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-47-29-715 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[33] Bloc:[8] Aim:[21] CCast:[0] RndCast[0] TopCast[0]
04-47-32-910 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[35] Bloc:[66] Aim:[80] CCast:[26] RndCast[31] TopCast[0]
04-47-35-910 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[35] Bloc:[64] Aim:[80] CCast:[0] RndCast[57] TopCast[0]
04-47-39-071 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-47-42-074 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[8] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-47-45-074 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-47-48-706 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[10] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-47-51-869 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[32] Bloc:[9] Aim:[20] CCast:[0] RndCast[0] TopCast[0]
04-47-54-870 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[9] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-47-58-031 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[28] Bloc:[9] Aim:[16] CCast:[0] RndCast[0] TopCast[0]
04-48-01-029 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-48-04-190 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-48-07-190 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-48-10-193 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-48-13-355 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-48-16-355 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[9] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-48-19-979 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[33] Bloc:[9] Aim:[21] CCast:[0] RndCast[0] TopCast[0]
04-48-23-144 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-48-26-141 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-48-29-306 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-48-32-303 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-48-35-306 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-48-38-467 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[35] Bloc:[66] Aim:[80] CCast:[0] RndCast[57] TopCast[0]
04-48-41-466 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[9] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-48-44-631 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[28] Bloc:[9] Aim:[16] CCast:[0] RndCast[0] TopCast[0]
04-48-48-264 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-48-54-230 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-48-57-230 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-49-00-389 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[9] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-49-03-390 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[9] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-49-06-557 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[29] Bloc:[9] Aim:[17] CCast:[0] RndCast[0] TopCast[0]
04-49-09-557 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-49-12-558 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-49-15-722 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-49-19-374 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[32] Bloc:[9] Aim:[20] CCast:[0] RndCast[0] TopCast[0]
04-49-22-374 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[66] Aim:[79] CCast:[0] RndCast[57] TopCast[0]
04-49-25-538 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[9] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-49-28-538 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[66] Aim:[76] CCast:[26] RndCast[31] TopCast[0]
04-49-31-709 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[12] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-49-34-705 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[6] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-49-37-871 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[10] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-49-40-869 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[6] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-49-44-035 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[32] Bloc:[10] Aim:[20] CCast:[0] RndCast[0] TopCast[0]
04-49-47-035 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[35] Bloc:[63] Aim:[80] CCast:[26] RndCast[31] TopCast[0]
04-49-50-685 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[33] Bloc:[10] Aim:[21] CCast:[0] RndCast[0] TopCast[0]
04-49-53-686 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-49-56-850 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[29] Bloc:[8] Aim:[17] CCast:[0] RndCast[0] TopCast[0]
04-49-59-938 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-50-03-100 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[31] Bloc:[8] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-50-07-216 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[35] Bloc:[65] Aim:[80] CCast:[0] RndCast[57] TopCast[0]
04-50-10-374 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[35] Bloc:[10] Aim:[23] CCast:[0] RndCast[0] TopCast[0]
04-50-13-725 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[28] Bloc:[12] Aim:[16] CCast:[0] RndCast[0] TopCast[0]
04-50-16-839 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[10] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-50-20-982 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[31] Targ:[33] Bloc:[10] Aim:[21] CCast:[0] RndCast[0] TopCast[0]
04-50-24-150 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[31] Bloc:[66] Aim:[76] CCast:[0] RndCast[57] TopCast[0]
04-50-27-385 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[32] Bloc:[11] Aim:[20] CCast:[0] RndCast[0] TopCast[0]
04-50-30-766 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[34] Bloc:[10] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-50-33-768 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[35] Bloc:[10] Aim:[23] CCast:[0] RndCast[0] TopCast[0]
04-50-37-110 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[34] Bloc:[179] Aim:[193] CCast:[52] RndCast[119] TopCast[0]
04-50-40-372 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[30] Bloc:[7] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-50-43-561 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[31] Bloc:[8] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-50-46-562 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[31] Bloc:[8] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-50-49-731 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[34] Bloc:[65] Aim:[79] CCast:[26] RndCast[31] TopCast[0]
04-50-53-427 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[35] Bloc:[8] Aim:[23] CCast:[0] RndCast[0] TopCast[0]
04-50-56-427 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[29] Bloc:[7] Aim:[17] CCast:[0] RndCast[0] TopCast[0]
04-50-59-594 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-51-02-597 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[32] Bloc:[6] Aim:[20] CCast:[0] RndCast[0] TopCast[0]
