09-22-23_02-38-24-686 - Logging Started
02-41-50-604 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.0410/0.0245/0.7607 <Acq>0.0018/0.0011/1.8882 <SH>0.0002/0.0001/0.0005 <CH>0.0003/0.0002/0.0562 <PS>0.0064/0.0054/0.0401 <PI>0.0009/0.0008/0.0041 <PD>0.0003/0.0002/0.0013 <PA>0.0002/0.0002/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0005 <NET1>0.0004/0.0003/0.0083> <DB>0.1464/0.1432/0.1495>
02-41-53-762 - (CPU-T) --- <Steps>58 <S-Sim>0.98 <C-Sim>0.98 <AI>0.0467/0.0236/0.5971 <Acq>0.0018/0.0011/0.1564 <SH>0.0003/0.0002/0.0370 <CH>0.0003/0.0002/0.0772 <PS>0.0066/0.0052/0.0778 <PI>0.0009/0.0008/0.0179 <PD>0.0003/0.0002/0.0011 <PA>0.0002/0.0002/0.0050 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0005 <NET1>0.0004/0.0003/0.0012> <DB>0.1547/0.1445/0.1649>
02-41-56-762 - (CPU-T) --- <Steps>59 <S-Sim>0.99 <C-Sim>0.99 <AI>0.0433/0.0238/0.6795 <Acq>0.0019/0.0010/7.8312 <SH>0.0002/0.0001/0.0004 <CH>0.0003/0.0002/0.0006 <PS>0.0066/0.0055/0.0731 <PI>0.0009/0.0008/0.0028 <PD>0.0003/0.0002/0.0159 <PA>0.0002/0.0002/0.0006 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0003 <NET1>0.0004/0.0002/0.0009> <DB>0.4744/0.4744/0.4744>
02-41-59-764 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.0394/0.0234/0.7952 <Acq>0.0018/0.0011/4.9822 <SH>0.0002/0.0001/0.0005 <CH>0.0003/0.0002/0.0160 <PS>0.0064/0.0053/0.0563 <PI>0.0009/0.0008/0.0030 <PD>0.0003/0.0002/0.0014 <PA>0.0002/0.0002/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0004 <NET1>0.0004/0.0003/0.0008> <DB>0.1473/0.1450/0.1495>
02-42-02-924 - (CPU-T) --- <Steps>57 <S-Sim>0.96 <C-Sim>0.96 <AI>0.0576/0.0278/0.5950 <Acq>0.0024/0.0012/2.0534 <SH>0.0003/0.0002/0.0066 <CH>0.0003/0.0002/0.0008 <PS>0.0080/0.0055/0.0554 <PI>0.0009/0.0008/0.0523 <PD>0.0004/0.0002/0.0014 <PA>0.0002/0.0002/0.0004 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0004 <NET1>0.0004/0.0002/0.0011> <DB>0.1879/0.1700/0.2057>
02-42-05-922 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.0425/0.0244/0.9685 <Acq>0.0018/0.0011/0.4218 <SH>0.0002/0.0002/0.0007 <CH>0.0003/0.0002/0.0008 <PS>0.0066/0.0053/0.0690 <PI>0.0009/0.0008/0.0488 <PD>0.0003/0.0002/0.0018 <PA>0.0002/0.0002/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0005 <NET1>0.0004/0.0003/0.0063> <DB>0.1477/0.1431/0.1523>
02-42-09-538 - (CPU-T) --- <Steps>52 <S-Sim>0.87 <C-Sim>0.87 <AI>0.0498/0.0264/0.6287 <Acq>0.0021/0.0012/1.6629 <SH>0.0002/0.0001/0.0004 <CH>0.0003/0.0001/0.0178 <PS>0.0072/0.0056/0.0716 <PI>0.0009/0.0008/0.0077 <PD>0.0003/0.0002/0.0016 <PA>0.0002/0.0002/0.0004 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0005 <NET1>0.0004/0.0002/0.0127> <DB>0.1512/0.1405/0.1618>
02-42-12-538 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.0419/0.0236/0.5863 <Acq>0.0019/0.0011/2.0744 <SH>0.0002/0.0001/0.0005 <CH>0.0003/0.0002/0.0604 <PS>0.0068/0.0054/0.1073 <PI>0.0009/0.0008/0.0119 <PD>0.0003/0.0002/0.0012 <PA>0.0002/0.0002/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0004 <NET1>0.0004/0.0003/0.0008> <DB>0.1452/0.1452/0.1452>
02-42-15-712 - (CPU-T) --- <Steps>57 <S-Sim>0.96 <C-Sim>0.96 <AI>0.0462/0.0227/0.5516 <Acq>0.0019/0.0010/0.1652 <SH>0.0002/0.0001/0.0005 <CH>0.0003/0.0002/0.0152 <PS>0.0068/0.0054/0.1121 <PI>0.0009/0.0008/0.0243 <PD>0.0003/0.0002/0.0130 <PA>0.0002/0.0002/0.0063 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0158 <NET1>0.0004/0.0003/0.0007> <DB>0.1552/0.1400/0.1703>
02-42-18-697 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.0519/0.0236/0.5030 <Acq>0.0018/0.0011/2.0631 <SH>0.0002/0.0001/0.0006 <CH>0.0003/0.0002/0.0593 <PS>0.0067/0.0053/0.0343 <PI>0.0009/0.0008/0.0184 <PD>0.0003/0.0002/0.0012 <PA>0.0002/0.0002/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0004 <NET1>0.0004/0.0003/0.0007> <DB>0.1581/0.1540/0.1622>
